kata,jenis,kategori,pengucapan,penjelasan,arti,gambar
Doll,noun,umum,ˈdäl,Sosok skala kecil manusia yang digunakan terutama sebagai mainan anak-anak,Boneka,Default.jpg
Book,noun,umum,ˈbu̇k,satu set lembar kulit atau kertas tertulis atau tablet kayu atau gading,Buku,Default.jpg
Computer,noun,umum,kəm-ˈpyü-tər,"salah satu yang menghitung;Khususnya: Perangkat elektronik yang dapat diprogram yang dapat menyimpan, mengambil, dan memproses data yang dapat diprogram",Komputer,Default.jpg
Sink,verb,umum,ˈsiŋk,Untuk pergi ke bawah: Sendok,Tenggelam,Default.jpg
Spoon,noun,umum,ˈspün,Implement makan atau memasak yang terdiri dari mangkuk dangkal kecil dengan pegangan yang relatif panjang,Sendok,Default.jpg
Side tables,noun,umum,side table,meja yang dirancang untuk diletakkan di dinding,Tabel samping,Default.jpg
Bed sheet,noun,umum,ˈbed-ˌshēt,Sepotong lonjong dari kain kapas atau linen yang digunakan sebagai barang dari tempat tidur,Sprei,Default.jpg
Newspaper,noun,umum,ˈnüz-ˌpā-pər,"kertas yang dicetak dan didistribusikan biasanya setiap hari atau mingguan dan berisi berita, artikel opini, fitur, dan iklan",Koran,Default.jpg
Fork,noun,umum,ˈfȯrk,"alat dengan dua atau lebih cabang yang digunakan terutama untuk mengambil (seperti dalam makan), pitching, atau menggali",Garpu,Default.jpg
Bed,noun,umum,ˈbed,sepotong furnitur di atau di mana berbohong dan tidur,Tempat tidur,Default.jpg
Mirror,noun,umum,ˈmir-ər,Permukaan yang dipoles atau halus (seperti kaca) yang membentuk gambar dengan refleksi,Cermin,Default.jpg
Laptop,adjective,umum,ˈlap-ˌtäp,dari ukuran dan desain yang membuat operasi dan penggunaan di pangkuan seseorang nyaman,Laptop,Default.jpg
Desk,noun,umum,ˈdesk,"Tabel, bingkai, atau kasing dengan permukaan miring atau horizontal terutama untuk menulis dan membaca dan sering dengan laci, kompartemen, dan lubang merpati",Meja,Default.jpg
Plate,noun,umum,ˈplāt,sepotong bahan tipis tipis yang halus,Piring,Default.jpg
Hanger,noun,umum,ˈhaŋ-ər,salah satu yang menggantung atau menyebabkan digantung atau digantung,Gantungan,Default.jpg
Bowl,noun,umum,ˈbōl,Cekung yang biasanya hampir hampir hemisfer bejana: wadah bulat yang biasanya lebih besar dari cangkir;Secara khusus: kapal minum (seperti untuk anggur),Mangkuk,Default.jpg
Clothes,plural noun,umum,ˈklōz,pakaian,Pakaian,Default.jpg
Glass,noun,umum,ˈglas,salah satu dari berbagai bahan amorf yang terbentuk dari leleh dengan pendinginan hingga kekakuan tanpa kristalisasi: seperti,Kaca,Default.jpg
Frames,noun,umum,frame,"susunan fisik hewan dan terutama tubuh manusia: fisik, sosok",Bingkai,Default.jpg
Fireplace,noun,umum,ˈfī(-ə)r-ˌplās,Pembukaan berbingkai dibuat di cerobong asap untuk menahan api terbuka: perapian;Juga: wadah logam dengan pipa asap yang digunakan untuk tujuan yang sama,Perapian,Default.jpg
Pan,noun,umum,ˈpan,"wadah yang biasanya luas, dangkal, dan terbuka untuk penggunaan domestik (seperti untuk memasak)",Panci,Default.jpg
Cutting board,noun,umum,cutting board,papan tempat sesuatu (seperti makanan atau kain) ditempatkan untuk dipotong,Talenan,Default.jpg
Bookcase,noun,umum,ˈbu̇k-ˌkās,Sepotong furnitur yang terdiri dari rak untuk memegang buku,Rak buku,Default.jpg
Socks,noun,umum,ˈsäk,sepatu atau sandal rendah,Kaus kaki,Default.jpg
Sound system,noun,umum,sound system,peralatan yang digunakan untuk memainkan musik melalui speaker,Sistem suara,Default.jpg
Accent chairs,None,umum,None,None,Kursi aksen,Default.jpg
Bag,noun,umum,ˈbag,"wadah yang biasanya fleksibel yang mungkin ditutup untuk menahan, menyimpan, atau membawa sesuatu: seperti",Tas,Default.jpg
Tissue,noun,umum,ˈti-(ˌ)shü,Sepotong kertas jaringan penyerap lembut yang digunakan terutama sebagai saputangan atau untuk menghilangkan kosmetik,Jaringan,Default.jpg
Air Condition,verb,umum,ˌer-kən-ˈdi-shən,"untuk melengkapi (sesuatu, seperti bangunan atau kendaraan) dengan peralatan untuk mencuci udara dan mengendalikan kelembaban dan suhunya;Juga: untuk subjek (udara) ke proses ini",Kondisi udara,Default.jpg
Ladle,noun,umum,ˈlā-dᵊl,Sendok bergantung panjang yang diikat dalam digunakan terutama untuk mencelupkan dan menyampaikan cairan,Sendok,Default.jpg
Magazine,noun,umum,ˈma-gə-ˌzēn,"Cetak berkala yang berisi potongan -potongan lain -lain (seperti artikel, cerita, puisi) dan sering diilustrasikan;Juga: hal yang berkala yang diterbitkan secara online",Majalah,Default.jpg
Wall décor,None,umum,None,None,Dekorasi dinding,Default.jpg
Jacket,noun,umum,ˈja-kət,"Pakaian untuk tubuh bagian atas biasanya memiliki lubang depan, kerah, kerah, lengan, dan saku",Jaket,Default.jpg
Media stand,None,umum,None,None,Stand Media,Default.jpg
Photo albums,None,umum,None,None,album Foto,Default.jpg
Pillow,noun,umum,ˈpi-(ˌ)lō,"dukungan untuk kepala orang yang berbaring;Khususnya: Satu yang terdiri dari tas kain yang diisi dengan bulu, ke bawah, karet spons, atau serat plastik",Bantal,Default.jpg
Shears,verb,umum,ˈshir,untuk memotong rambut dari,Shears,Default.jpg
Food cover,None,umum,None,None,Tutupan makanan,Default.jpg
Window,noun,umum,ˈwin-(ˌ)dō,pembukaan terutama di dinding bangunan untuk masuk cahaya dan udara yang biasanya ditutup oleh selongsong atau ikat pinggang yang mengandung bahan transparan (seperti kaca) dan mampu dibuka dan ditutup,Jendela,Default.jpg
Table,noun,umum,ˈtā-bəl,Sepotong furnitur yang terdiri dari pelat datar halus yang dipasang di kaki,Meja,Default.jpg
Alarm clock,noun,umum,alarm clock,Jam yang dapat diatur untuk membunyikan alarm pada waktu yang diinginkan,Jam alarm,Default.jpg
Chopsticks,noun,umum,ˈchäp-ˌstik,Salah satu dari sepasang batang ramping (seperti kayu atau plastik) yang dipegang di antara ibu jari dan jari dan digunakan untuk mengangkat makanan ke mulut - biasanya digunakan dalam jamak,Sumpit,Default.jpg
Mug,noun,umum,ˈməg,cangkir minum silindris,Mug,Default.jpg
Can opener,noun,umum,can opener,perangkat yang digunakan di dapur untuk membuka kaleng makanan,Pembuka kaleng,Default.jpg
Fan,noun,umum,ˈfan,salah satu perangkat untuk gandum menampi,Penggemar,Default.jpg
Napkin,noun,umum,ˈnap-kən,sepotong bahan (seperti kain atau kertas) yang digunakan di meja untuk menyeka bibir atau jari dan melindungi pakaiannya,Serbet,Default.jpg
Rice cooker,noun,umum,rice cooker,panci listrik yang digunakan untuk memasak nasi,Penanak nasi,Default.jpg
Throw pillow,noun,umum,throw pillow,Bantal kecil yang digunakan terutama sebagai aksesori dekoratif,Lempar bantal,Default.jpg
Frame,noun,umum,frame,"susunan fisik hewan dan terutama tubuh manusia: fisik, sosok",Bingkai,Default.jpg
Vase,noun,umum,ˈvās,Kapal bundar yang biasanya lebih dalam dari lebar yang digunakan terutama sebagai ornamen atau untuk memegang bunga,Vas,Default.jpg
Cupboard,noun,umum,ˈkə-bərd,"lemari dengan rak tempat hidangan, peralatan, atau makanan disimpan;Juga: lemari kecil",Lemari,Default.jpg
Gallon,noun,umum,ˈga-lən,satuan kapasitas cairan sama dengan 231 inci kubik atau empat liter,Galon,Default.jpg
Tablecloth,noun,umum,ˈtā-bəl-ˌklȯth,penutup yang tersebar di atas meja makan sebelum peralatan makan diatur,Taplak meja,Default.jpg
Clock,noun,umum,ˈkläk,Perangkat selain jam tangan untuk menunjukkan atau mengukur waktu umumnya dengan menggunakan tangan bergerak pada dial;Secara luas: Sistem periodik apa pun di mana waktu diukur,Jam,Default.jpg
Television,noun,umum,ˈte-lə-ˌvi-zhən,Sistem elektronik transmisi gambar sementara dari objek yang tetap atau bergerak bersama dengan suara di atas kawat atau melalui ruang dengan peralatan yang mengubah cahaya dan suara menjadi gelombang listrik dan menyalakannya kembali menjadi sinar cahaya yang terlihat dan suara yang terdengar,Televisi,Default.jpg
Flowers,noun,umum,ˈflau̇(-ə)r,"Bagian khusus dari tanaman angiosperma yang terjadi secara tunggal atau dalam kelompok, memiliki lingkaran kelopak atau sepal yang sering berwarna -warni, dan mengandung struktur reproduksi (seperti benang sari atau pistil) yang terlibat dalam pengembangan biji dan buah: Bunga",Bunga-bunga,Default.jpg
Microwave ,noun,umum,ˈmī-krō-ˌwāv,gelombang elektromagnetik yang relatif pendek;Terutama: satu antara sekitar satu milimeter dan satu meter dalam panjang gelombang,Microwave,Default.jpg
Tap,verb,umum,ˈtap,untuk menyerang ringan terutama dengan sedikit suara,Mengetuk,Default.jpg
Bolster,noun,umum,ˈbōl-stər,Bantal panjang atau bantal,Memperkuat,Default.jpg
Aquarium,noun,umum,ə-ˈkwer-ē-əm,wadah (seperti tangki kaca) atau kolam buatan di mana hewan atau tanaman air hidup disimpan,Akuarium,Default.jpg
Teapot,noun,umum,ˈtē-ˌpät,kapal dengan cerat dan pegangan di mana teh diseduh dan dari mana disajikan,Teko,Default.jpg
Lamp,noun,umum,ˈlamp,salah satu dari berbagai perangkat untuk menghasilkan cahaya atau terkadang panas: seperti,Lampu,Default.jpg
Sofa,noun,umum,ˈsō-fə,Kursi berlapis berlapis panjang biasanya dengan lengan dan punggung dan sering dapat dikonversi menjadi tempat tidur,Sofa,Default.jpg
Nightlight,noun,umum,ˈnīt-ˌlīt,Cahaya terus menyala sepanjang malam,Cahaya malam,Default.jpg
Refrigerator,noun,umum,ri-ˈfri-jə-ˌrā-tər,sesuatu yang lemari es;Khususnya: kamar atau alat untuk menjaga makanan atau barang -barang lainnya tetap dingin,Lemari es,Default.jpg
Dispenser,noun,umum,di-ˈspen(t)-sər,satu yang mengeluarkan: seperti,Dispenser,Default.jpg
Oven,noun,umum,ˈə-vən,"ruang yang digunakan untuk memanggang, memanaskan, atau mengeringkan",Oven,Default.jpg
Knife,noun,umum,ˈnīf,Instrumen pemotongan yang terdiri dari bilah tajam yang diikat ke pegangan,Pisau,Default.jpg
Carpet,noun,umum,ˈkär-pət,kain berat yang sering berumbai digunakan sebagai penutup lantai;Juga: penutup lantai yang terbuat dari kain ini,Karpet,Default.jpg
Trash can,noun,umum,trash can,wadah yang menyimpan bahan yang telah dibuang,Tempat sampah,Default.jpg
Blanket,noun,umum,ˈblaŋ-kət,sepotong kain tenun yang besar biasanya digunakan sebagai penutup tempat tidur,Selimut,Default.jpg
Telephone,noun,umum,ˈte-lə-ˌfōn,Perangkat dengan mana suara (seperti ucapan) dikonversi menjadi impuls listrik dan ditransmisikan (seperti dengan kawat atau gelombang radio) ke satu atau lebih penerima spesifik: telepon: seperti,Telepon,Default.jpg
Chair,noun,umum,ˈcher,Kursi biasanya memiliki empat kaki dan punggung untuk satu orang,Kursi,Default.jpg
Air freshener,None,umum,None,None,Pengharum ruangan,Default.jpg
Curtain,noun,umum,ˈkər-tᵊn,Layar gantung yang biasanya mampu ditarik ke belakang atau ke atas;Khususnya: Gorden Jendela,Tirai,Default.jpg
Hair comb,None,umum,None,None,Sisir rambut,Default.jpg
Shoes,noun,umum,ˈshü,Penutup luar untuk kaki manusia biasanya memiliki sol tebal atau kaku dengan tumit terpasang dan bagian atas bahan yang lebih ringan (seperti kulit),Sepatu,Default.jpg
