kata,jenis,kategori,pengucapan,penjelasan,arti,gambar
horned_melon,None,buah,None,None,Horned_melon,Default.jpg
hog_plum,None,buah,None,None,hog_plum,Default.jpg
hard_kiwi,None,buah,None,None,hard_kiwi,Default.jpg
quince,noun,buah,ˈkwin(t)s,Buah dari pohon Asia Tengah (Cydonia oblonga) dari keluarga mawar yang menyerupai apel kuning berdaging dan digunakan terutama dalam pelestarian,quince,Default.jpg
grapefruit,noun,buah,ˈgrāp-ˌfrüt,"Buah jeruk bundar besar dengan kulit kuning pahit dan bubur kuning pucat, merah muda, atau bubur kemerahan",jeruk bali,Default.jpg
indian_strawberry,None,buah,None,None,Indian_strawberry,Default.jpg
custard_apple,noun,buah,custard apple,salah satu dari beberapa buah-buahan yang dapat dimakan oleh orang Amerika tropis yang dapat dimakan,custard_apple,Default.jpg
banana,noun,buah,bə-ˈna-nə,Buah tropis yang biasanya memanjang dengan daging soft pulpy tertutup dalam kulit lembut biasanya kuning,pisang,Default.jpg
medlar,noun,buah,ˈmed-lər,Sebuah pohon Eurasia kecil yang gugur (Mespilus Germanica) dari keluarga mawar yang buahnya menyerupai apel kepiting dan digunakan dalam pelestarian;Juga: buahnya,Medlar,Default.jpg
otaheite_apple,None,buah,None,None,Otaheite_apple,Default.jpg
feijoa,noun,buah,fā-ˈyō-ə,Buah ronde hijau atau oval berair dari semak atau pohon kecil (feijoa sellowiana) dari keluarga myrtle yang berasal dari Amerika Selatan dan ditanam secara komersial terutama di Selandia Baru;Juga: pohon atau semak,feijoa,Default.jpg
camu_camu,None,buah,None,None,camu_camu,Default.jpg
kaffir_lime,noun,buah,kaffir lime,Pohon jeruk (jeruk hytrix) dari Asia Tenggara yang memiliki daun aromatik dan buah-buahan hijau bundar yang digunakan terutama dalam masakan Thailand;Juga: daun atau buahnya,kaffir_lime,Default.jpg
jackfruit,noun,buah,ˈjak-ˌfrüt,Pohon Asia tropis besar (Artocarpus heterophyllus) terkait dengan sukun yang menghasilkan kayu kuning berbutir halus dan buah-buahan besar yang mengandung bubur yang dapat dimakan dan biji bergizi;Juga: buahnya,nangka,Default.jpg
damson,noun,buah,ˈdam-zən,buah tart kecil dari pohon prem Asia yang dibudidayakan secara luas (prunus insititia);juga: pohon ini,prem,Default.jpg
greengage,noun,buah,ˈgrēn-ˌgāj,salah satu dari beberapa plum yang dibudidayakan kehijauan atau kehijauan kuning,Greengage,Default.jpg
goumi,None,buah,None,None,goumi,Default.jpg
apple,noun,buah,ˈa-pəl,"Buah pome berdaging, biasanya bulat merah, kuning, atau hijau yang dapat dimakan dari pohon yang biasanya dibudidayakan (genus Malus) dari keluarga mawar;Juga: pohon apel",apel,Default.jpg
cluster_fig,None,buah,None,None,cluster_fig,Default.jpg
rose_leaf_bramble,None,buah,None,None,rose_leaf_bramble,Default.jpg
passion_fruit,noun,buah,passion fruit,buah yang dapat dimakan dari hairplower;Khususnya: Buah ungu atau kuning kecil bundar dari bunga passion Brasil (Passiflora edulis) yang ditanam secara komersial di bagian yang lebih hangat dari A.S.,markisa,Default.jpg
cashew,noun,buah,ˈka-(ˌ)shü,"Sebuah pohon Amerika tropis (Anacardium occidentale dari keluarga Anacardiaceae, keluarga mete) tumbuh untuk minyak fenolik dan kernel yang dapat dimakan kacang dan untuk permen karet dari batangnya;Juga: kacang mete",Mete,Default.jpg
rambutan,noun,buah,ram-ˈbü-tᵊn,Buah Malaya berduri merah cerah terkait erat dengan leci;Juga: pohon (nephelium lappaceum) dari keluarga soapberry yang menghasilkan buah ini,Rambutan,Default.jpg
mangosteen,noun,buah,ˈmaŋ-gə-ˌstēn,Buah ungu kemerahan gelap di Asia Tenggara dengan kulit tebal dan daging berair memiliki rasa sugestif baik buah persik dan nanas;Juga: pohon (Garcinia mangostana) dari keluarga Saint-John's-Wort yang menanggung manggis,manggis,Default.jpg
hawthorn,noun,buah,ˈhȯ-ˌthȯrn,"Salah satu genus (krataegus) semak-semak berduri yang berbunga musim semi atau pohon-pohon kecil keluarga mawar dengan daun yang mengkilap dan sering kali lobed, bunga wangi putih atau merah muda, dan buah-buahan merah kecil",sejenis semak,Default.jpg
ugli_fruit,None,buah,None,None,UGLI_FRUIT,Default.jpg
jambul,None,buah,None,None,Jambul,Default.jpg
pomegranate,noun,buah,ˈpä-mə-ˌgra-nət,Berry kemerahan beberapa bersel dengan ukuran jeruk dengan kulit kasar tebal dan banyak biji dengan aril crimson pulpy rasa asam asam,delima,Default.jpg
chico,geographical name,buah,ˈchē-(ˌ)kō,City North of Sacramento di California Barat Populasi 86.187,Chico,Default.jpg
raspberry,noun,buah,ˈraz-ˌber-ē,Salah satu dari berbagai buah beri yang biasanya dimakan hitam atau merah yang merupakan buah agregat yang terdiri dari banyak drup kecil pada wadah berdaging dan yang biasanya lebih bulat dan lebih kecil dari blackberry yang terkait erat,frambos,Default.jpg
jocote,None,buah,None,None,Jocote,Default.jpg
acerola,noun,buah,ˌa-sə-ˈrō-lə,salah satu dari beberapa semak Amerika tropis (genus Malpighia dari keluarga Malpighiaceae);Khususnya: semak besar atau pohon kecil (Sinonim Malpighia glabra M. punicifolia) yang ditemukan dari Texas ke Amerika Selatan Utara dan Hindia Barat yang memiliki buah -buahan seperti ceri yang sangat kaya sangat kaya vitamin C,Acerola,Default.jpg
acai,noun,buah,ˌä-ˌsä-ˈē,"Buah kecil, ungu gelap, seperti berry dengan bubur berair yang sering digunakan dalam minuman atau dimakan mentah dan yang diproduksi oleh telapak tangan yang tinggi dan ramping (Euterpe oleracea) asli dari hutan hujan tropis di Amerika Tengah dan Selatan Selatan",acai,Default.jpg
morinda,None,buah,None,None,Morinda,Default.jpg
gooseberry,noun,buah,ˈgüs-ˌber-ē,"Asam biasanya buah berduri dari salah satu dari beberapa semak (genus ribes, terutama R. hirtellum dari AS dan R. Uva-Crispa Eropa) dikelompokkan terutama sebelumnya dalam keluarga Saxifrage tetapi sekarang sering ditempatkan dalam keluarga yang terpisah (Grossulariaceae, gooseberry the gooseberikeluarga)",Gooseberry,Default.jpg
mandarine,None,buah,None,None,jeruk keprok,Default.jpg
barbadine,None,buah,None,None,Barbadine,Default.jpg
apricot,noun,buah,ˈa-prə-ˌkät,Buah berwarna oval oranye dari pohon zona beriklim (Prunus armeniaca) menyerupai persik terkait dan prem dalam rasa,aprikot,Default.jpg
lablab,None,buah,None,None,lablab,Default.jpg
