kata,jenis,pengucapan,penjelasan,arti,gambar
stay,noun,ˈstā,Tali kuat besar biasanya dari kawat yang digunakan untuk mendukung tiang,tinggal,Default.jpg
nature,noun,ˈnā-chər,dunia luar secara keseluruhan,alam,Default.jpg
orders,noun,order,sekelompok orang yang disatukan secara formal: seperti,pesanan,Default.jpg
availability,noun,ə-ˌvā-lə-ˈbi-lə-tē,kualitas atau keadaan tersedia,ketersediaan,Default.jpg
africa,geographical name,ˈa-fri-kə,"benua belahan bumi timur yang mengangkangi khatulistiwa, dipisahkan dari Eropa oleh Selat Gibraltar, dan Asia yang bersebelahan di daerah Semenanjung Sinai 11.677.239 mil persegi (30.244.049 kilometer persegi)",Afrika,Default.jpg
summary,adjective,ˈsə-mə-rē,luas;Terutama: Meliputi poin utama secara ringkas,ringkasan,Default.jpg
turn,verb,ˈtərn,menyebabkan bergerak di sekitar sumbu atau pusat: buat putar atau berputar,berbelok,Default.jpg
mean,verb,ˈmēn,"Untuk memiliki dalam pikiran sebagai tujuan: bermaksud - kadang -kadang digunakan secara interpection dengan saya, terutama dalam pidato informal untuk penekanan atau untuk memperkenalkan frasa yang menyatakan kembali titik frasa sebelumnya",berarti,Default.jpg
growth,noun,ˈgrōth,tahap dalam proses tumbuh: ukuran,pertumbuhan,Default.jpg
notes,verb,ˈnōt,untuk memperhatikan atau mengamati dengan hati -hati,catatan,Default.jpg
agency,noun,ˈā-jən(t)-sē,kantor atau fungsi agen,agen,Default.jpg
king,noun,ˈkiŋ,seorang raja laki -laki dari unit teritorial utama;Terutama: orang yang posisinya turun temurun dan yang memerintah seumur hidup,raja,Default.jpg
monday,noun,ˈmən-(ˌ)dā,hari kedua dalam seminggu,Senin,Default.jpg
european,adjective,ˌyu̇r-ə-ˈpē-ən,"dari, berkaitan dengan, atau karakteristik Eropa atau rakyatnya",Eropa,Default.jpg
activity,noun,ak-ˈti-və-tē,kualitas atau keadaan aktif: perilaku atau tindakan dari jenis tertentu,aktivitas,Default.jpg
copy,noun,ˈkä-pē,"Imitasi, transkrip, atau reproduksi karya asli (seperti huruf, lukisan, meja, atau gaun)",menyalin,Default.jpg
although,conjunction,ȯl-ˈt͟hō,terlepas dari kenyataan bahwa: meskipun,meskipun,Default.jpg
drug,noun,ˈdrəg,zat yang digunakan sebagai obat atau dalam persiapan obat,obat,Default.jpg
pics,noun,ˈpik,foto,foto,Default.jpg
western,adjective,ˈwe-stərn,datang dari barat,barat,Default.jpg
