kata,jenis,kategori,pengucapan,penjelasan,arti,gambar
Cereal,adjective,food_drink,ˈsir-ē-əl,berkaitan dengan biji -bijian atau tanaman yang memproduksinya;Juga: terbuat dari biji -bijian,Sereal,Default.jpg
Cotton candy,noun,food_drink,cotton candy,permen yang terbuat dari gula berputar,Permen kapas,Default.jpg
Meat floss,None,food_drink,None,None,Benang daging,Default.jpg
Chicken nugget,None,food_drink,None,None,Nugget ayam,Default.jpg
Corn chips,noun,food_drink,corn chip,Sepotong makanan camilan renyah kering yang disiapkan dari adonan tepung jagung yang dibumbui,Keripik jagung,Default.jpg
Bacon,noun,food_drink,ˈbā-kən,sisi babi sembuh dan merokok;Juga: potongan tipis dipotong dari bacon,Daging babi asap,Default.jpg
Tart cake,None,food_drink,None,None,Kue tart,Default.jpg
Sausage,noun,food_drink,ˈsȯ-sij,"Daging berbumbu atau daging giling (seperti daging babi, daging sapi, atau unggas) yang diisi dalam selongsong yang biasanya dari usus hewan yang disiapkan atau dibuat menjadi roti;Juga: tautan atau patty sosis",Sosis,Default.jpg
Fried egg,None,food_drink,None,None,Telur goreng,Default.jpg
Jelly,noun,food_drink,ˈje-lē,Produk makanan yang agak elastis biasanya dibuat dengan gelatin atau pektin;Khususnya: produk buah yang dibuat oleh gula mendidih dan jus buah,Jeli,Default.jpg
Ice cream,adjective,food_drink,ˌīs-ˈkrēm,warna yang mirip dengan es krim vanilla,Es krim,Default.jpg
Whipped cream,None,food_drink,None,None,Krim kocok,Default.jpg
Crackers,adjective,food_drink,ˈkra-kərz,ditandai dengan pemikiran atau tindakan yang tidak memiliki alasan,Biskuit,Default.jpg
Potato chips,noun,food_drink,potato chip,sepotong tipis kentang putih yang telah dimasak sampai renyah dan biasanya asin,Keripik kentang,Default.jpg
Macaroni,noun,food_drink,ˌma-kə-ˈrō-nē,Pasta terbuat dari semolina dan dibentuk dalam bentuk tabung ramping,Makaroni,Default.jpg
Beef,noun,food_drink,ˈbēf,Daging sapi domestik dewasa (seperti steer atau sapi) digunakan sebagai makanan,Daging sapi,Default.jpg
cake,noun,food_drink,ˈkāk,Makanan seperti roti yang terbuat dari adonan atau adonan yang biasanya digoreng atau dipanggang dalam bentuk datar kecil dan sering tidak beragi,kue,Default.jpg
Jam,noun,food_drink,ˈjam,makanan yang dibuat dengan mendidih buah dan gula hingga konsistensi yang kental,Selai,Default.jpg
Beef spare ribs,None,food_drink,None,None,Sapi Ribs Cadangan,Default.jpg
Curry,verb,food_drink,ˈkər-ē,"untuk membersihkan mantel (seekor binatang, seperti kuda) dengan kari",Kari,Default.jpg
