kata,jenis,pengucapan,penjelasan,arti,gambar
expire,verb,ik-ˈspī(-ə)r,untuk menghirup napas terakhirnya: mati,berakhir,Default.jpg
icwales,None,None,None,Icwales,Default.jpg
virginians,None,None,None,orang Virgin,Default.jpg
tri,combining form,tri-,Tiga: Memiliki tiga elemen atau bagian,tri,Default.jpg
maxoptix,None,None,None,Maxoptix,Default.jpg
standardexception,None,None,None,StandardException,Default.jpg
unobstructed,adjective,ˌən-əb-ˈstrək-təd,jelas atau bebas dari penghalang atau hambatan: tidak terhalang,tidak terhalang,Default.jpg
wwwkazaalite,None,None,None,wwwkazaalite,Default.jpg
bionomics,noun,ˌbī-ə-ˈnä-miks,ekologi,Bionomik,Default.jpg
mirthful,noun,ˈmərth,kegembiraan atau keriangan seperti yang ditunjukkan atau disertai tawa,riang,Default.jpg
fireant,noun,fire ant,salah satu genus (solenopsis) dari semut omnivora yang sengit;Terutama: semut api impor,semut Api,Default.jpg
kasimdzhanov,None,None,None,Kasimdzhanov,Default.jpg
appro,abbreviation,appro,persetujuan,AKURNYA,Default.jpg
kuah,None,None,None,Kuah,Default.jpg
ugx,None,None,None,Ugx,Default.jpg
doelen,None,None,None,doelen,Default.jpg
nelle,biographical name,Lee,(Nelle) Harper 1926—2016 Novelis Amerika,Nelle,Default.jpg
agcas,None,None,None,Agcas,Default.jpg
uong,None,None,None,Uong,Default.jpg
flaked,verb,flake,untuk menutupi atau seolah -olah dengan serpihan,Flaked,Default.jpg
mctighe,None,None,None,McTighe,Default.jpg
wwwkoh,None,None,None,wwwkoh,Default.jpg
ladys,noun,ladies' man,Seorang pria yang menunjukkan kesukaan yang ditandai untuk ditemani wanita atau sangat memperhatikan wanita,Ladys,Default.jpg
minear,None,None,None,minear,Default.jpg
olivetti,None,None,None,Olivetti,Default.jpg
stuph,None,None,None,SANGAT,Default.jpg
vwp,None,None,None,VWP,Default.jpg
machard,None,None,None,Machard,Default.jpg
vld,None,None,None,vld,Default.jpg
eisdamme,None,None,None,Eisdamme,Default.jpg
stoneburner,None,None,None,Stoneburner,Default.jpg
pkn,None,None,None,pkn,Default.jpg
prostrating,verb,ˈprä-ˌstrāt,untuk melempar atau dimasukkan ke posisi sujud,bersujud,Default.jpg
